mission_name,Rocket Type,Reusability,Payload Mass (kg),Payload Type,Orbit,Country,Launch Success,launch_date,launch_year
hispasat 30w-6,Falcon 9,False,6092.0,Satellite,GTO,Florida,1.0,2018-03-06 05:33:00+00:00,2018
iridium next mission 5,Falcon 9,False,9600.0,Satellite,PO,California,1.0,2018-03-30 14:13:51+00:00,2018
crs-14,Falcon 9,True,2760.0,Dragon 1.1,ISS,Florida,1.0,2018-04-02 20:30:41+00:00,2018
tess,Falcon 9,False,350.0,Satellite,HEO,Florida,1.0,2018-04-18 22:51:00+00:00,2018
bangabandhu-1,Falcon 9,False,3750.0,Satellite,GTO,Florida,1.0,2018-05-11 20:14:00+00:00,2018
iridium next mission 6,Falcon 9,False,4300.0,Satellite,PO,California,1.0,2018-05-22 19:47:58+00:00,2018
ses-12,Falcon 9,False,5383.85,Satellite,GTO,Florida,1.0,2018-06-04 04:45:00+00:00,2018
crs-15,Falcon 9,True,2410.0,Dragon 1.1,ISS,Florida,1.0,2018-06-29 09:42:00+00:00,2018
telstar 19v,Falcon 9,False,7076.0,Satellite,GTO,Florida,1.0,2018-07-22 05:50:00+00:00,2018
iridium next mission 7,Falcon 9,False,9600.0,Satellite,PO,California,1.0,2018-07-25 11:39:26+00:00,2018
merah putih,Falcon 9,False,5800.0,Satellite,GTO,Florida,1.0,2018-08-07 05:18:00+00:00,2018
telstar 18v,Falcon 9,False,7060.0,Satellite,GTO,Florida,1.0,2018-09-10 04:45:00+00:00,2018
saocom 1a,Falcon 9,False,2800.0,Satellite,SSO,California,1.0,2018-10-08 02:22:00+00:00,2018
es’hail 2,Falcon 9,False,3000.0,Satellite,GTO,Florida,1.0,2018-11-15 20:46:00+00:00,2018
sso-a,Falcon 9,False,4000.0,Satellite,SSO,California,1.0,2018-12-03 18:34:00+00:00,2018
crs-16,Falcon 9,True,2573.0,Dragon 1.1,ISS,Florida,1.0,2018-12-05 18:16:00+00:00,2018
gps iii sv01,Falcon 9,False,4400.0,Satellite,MEO,Florida,1.0,2018-12-23 13:51:00+00:00,2018
iridium next mission 8,Falcon 9,False,9600.0,Satellite,PO,California,1.0,2019-01-11 15:31:00+00:00,2019
nusantara satu (psn-6) / s5 / beresheet,Falcon 9,False,5000.0,Satellite,GTO,Florida,1.0,2019-02-22 01:45:00+00:00,2019
cctcap demo mission 1,Falcon 9,False,12259.0,Crew Dragon,ISS,Florida,1.0,2019-03-02 07:45:00+00:00,2019
arabsat 6a,Falcon Heavy,False,6000.0,Satellite,GTO,Florida,1.0,2019-04-11 22:35:00+00:00,2019
crs-17,Falcon 9,True,2482.0,Dragon 1.1,ISS,Florida,1.0,2019-05-04 06:48:00+00:00,2019
starlink v0.9,Falcon 9,False,13200.0,Satellite,VLEO,Florida,1.0,2019-05-24 02:30:00+00:00,2019
radarsat constellation,Falcon 9,False,1425.0,Satellite,SSO,California,1.0,2019-06-12 14:17:00+00:00,2019
stp-2,Falcon Heavy,False,600.0,Satellite,MEO,Florida,1.0,2019-06-25 03:30:00+00:00,2019
crs-18,Falcon 9,True,2227.7,Dragon 1.1,ISS,Florida,1.0,2019-07-25 22:01:00+00:00,2019
amos-17,Falcon 9,False,6500.0,Satellite,GTO,Florida,1.0,2019-08-06 22:52:00+00:00,2019
starlink-1,Falcon 9,False,15600.0,Satellite,VLEO,Florida,1.0,2019-11-11 14:56:00+00:00,2019
crs-19,Falcon 9,True,5000.0,Dragon 1.1,ISS,Florida,1.0,2019-12-05 17:29:23+00:00,2019
jcsat 18 / kacific 1,Falcon 9,False,6800.0,Satellite,GTO,Florida,1.0,2019-12-17 00:10:00+00:00,2019
